 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 Domino’s Ligue 2, Valenciennes FC, Lamine Ndao, Senegal
 Calcio B, Sampdoria, Antonio Palumbo, Italy
 Calcio B, Terni, Giovanni Di Noia, Italy
 Sogaz Russian Football Championship, Amkar Perm, Alikhan Shavaev, Russia
 Primera División, San Lorenzo de Almagro, José Devecchi, Argentina
 Campeonato Scotiabank, CD Palestino, Bayron Saavedra, Chile
 EFL League One, Milton Keynes Dons, Ben Tilney, England
 Sogaz Russian Football Championship, FC Ufa, Igor Bezdenezhnykh, Russia
 Domino’s Ligue 2, Amiens SC, Aboubakar Kamara, France
 Alka Superliga, Vancouver Whitecaps FC, Kianz Froese, Canada
 Alka Superliga, ADO Den Haag, Hector Hevel, Holland
 Tippeligaen, Molde FK, Amidou Diop, Senegal
 Hyundai A-League, Central Coast Mariners, Jacob Poscoliero, Australia
 Alka Superliga, Akhisar Belediyespor, Onurcan Güler, Turkey
 Alka Superliga, Stoke City, Oliver Shenton, England
 Alka Superliga, FC Admira Wacker Mödling, Ante Roguljić, Croatia
 EFL League One, Oxford United, Chey Dunkley, England
 Belgium Pro League, Royal Excel Mouscron, Fejsal Mulić, Serbia
 EFL Championship, Huddersfield Town, Jon Gorenc-Stankovic, Slovenia
 Bundesliga, SV Werder Bremen, Maximilian Eggestein, Germany
 Primera División, Liniers, Emiliano Amor, Argentina
 Alka Superliga, SV Zulte-Waregem, Sebastiaan Brebels, Belgium
 Calcio B, Vercelli, Enrico Baldini, Italy
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Hwang Hee Chan, Korea Republic
 Campeonato Scotiabank, Audax Italiano, Sergio Santos, Brazil
 Primera División, Club Atlético Aldosivi, Nicolás Miracco, Argentina
 Major League Soccer, New York City Football Club, Khiry Shelton, United States
 EFL League One, Bristol City, Taylor Moore, England
 Liga Dimayor, Junior FC, Léiner Escalante, Colombia
 Liga Dimayor, Patriotas Boyacá FC, Deiver Parra, Colombia
 Alka Superliga, FK Austria Wien, Patrizio Stronati, Czech Republic
 Alka Superliga, Pohang Steelers, Choi Ho Ju, Korea Republic
 Allsvenskan, AIK, Patrick Kpozo, Ghana
 Ekstraklasa, Cracovia, Tomáš Vestenický, Slovakia
 Raiffeisen Super League, Grasshopper Club Zürich, Nikola Gjorgjev, Switzerland
 Primera División, Club Atlético Sarmiento, Gonzalo Di Renzo, Argentina
 Alka Superliga, IFK Norrköping, Tesfaldet Tekie, Sweden
 Sogaz Russian Football Championship, FC Orenburg, Maxim Batov, Russia
 Primera División, Liniers, Nicolás Tripichio, Argentina
 Alka Superliga, Cesena, Nicola Dalmonte, Italy
 Major League Soccer, New York Red Bulls, Anatole Abang, Cameroon
 K LEAGUE Classic, Jeonnam Dragons, Lee Ji Min, Korea Republic
 Premier League, Tottenham Hotspur, Cameron Carter-Vickers, United States
 Hyundai A-League, Western Sydney Wanderers, Jonathan Aspropotamitis, Australia
 Bundesliga 2, VfB Stuttgart, Marvin Wanitzek, Germany
 Alka Superliga, SC Heerenveen, Rewan Amin, Holland
 Belgium Pro League, Sint-Truidense VV, Iebe Swers, Belgium
 K LEAGUE Classic, Suwon FC, Kim Min Je, Korea Republic
 K LEAGUE Classic, Suwon FC, Jeong Gi Woon, Korea Republic
 Domino’s Ligue 2, ESTAC Troyes, Alois Confais, France
 Belgium Pro League, Standard de Liège, Ryan Mmaee, Belgium
 Primera División, Liniers, Nicolás Delgadillo, Argentina
 Belgium Pro League, KRC Genk, Dries Wouters, Belgium
 LaLiga Santander, CA Osasuna, Antonio Otegui, Spain
 Ligue 1, Montpellier Hérault SC, Mamadou NDiaye, France
 Primera División, Defensa y Justicia, Ignacio Rivero, Uruguay
 Alka Superliga, Viborg FF, Søren Reese, Denmark
 Alka Superliga, Korona Kielce, Łukasz Sekulski, Poland
 EFL League One, Bristol Rovers, James Clarke, England
 South African FL, Orlando Pirates, Amigo Memela, South Africa
 Bundesliga 2, Eintracht Braunschweig, Niko Kijewski, Germany
 Bundesliga 2, Fortuna Düsseldorf, Arianit Ferati, Germany
 Sogaz Russian Football Championship, FC Anzhi Makhachkala, Shamil Gasanov, Russia
 Domino’s Ligue 2, Racing Club de Lens, Jérémy Vachoux, France
 Alka Superliga, Grasshopper Club Zürich, Jean-Pierre Rhyner, Peru
 Calcio A, La Spezia, Alessandro Deiola, Italy
 Sogaz Russian Football Championship, FC Anzhi Makhachkala, Svyatoslav Georgievskiy, Russia
 LIGA Bancomer MX, Puebla, Alfredo Juraidini, Mexico
 LIGA Bancomer MX, Club León, Osvaldo Rodríguez, Mexico
 Alka Superliga, Stade Brestois 29, Ali Keita, Côte d'Ivoire
 Alka Superliga, IFK Norrköping, Andreas Vaikla, Estonia
 EFL League One, Chesterfield, Dion Donohue, Wales
 Hyundai A-League, Central Coast Mariners, Harry Ascroft, Australia
 Alka Superliga, Atiker Konyaspor, Abdülkerim Bardakcı, Turkey
 Allsvenskan, Hammarby IF, Joseph Aidoo, Ghana
 Süper Lig, Atiker Konyaspor, Emre Can Atila, Turkey
 Eredivisie, N.E.C., Jay-Roy Grot, Holland
 Calcio B, Ascoli, Gianluca Carpani, Italy
 Calcio A, Crotone, Marco Festa, Italy
 Dawry Jameel, Al Wehda, Mousa Madkhali, Saudi Arabia
 Liga NOS, Estoril Praia, Matheus Índio, Brazil
 Premier League, West Bromwich Albion, Zachary Elbouzedi, Republic of Ireland
 EFL League Two, Yeovil Town, Matt Butcher, England
 Premier League, Coventry City, Andre Wright, England
 Alka Superliga, KV Kortrijk, Abraham Attobrah, Ghana
 LaLiga 1 I 2 I 3, Middlesbrough, Carlos de Pena, Uruguay
 Liga Dimayor, Houston Dynamo, Yair Arboleda, Colombia
 LaLiga 1 I 2 I 3, AD Alcorcón, Iván Alejo, Spain
 Premier League, West Bromwich Albion, Joe Ward, England
 Allsvenskan, Östersunds FK, Aly Keita, Sweden
 Alka Superliga, Gaziantepspor, Oktay Aydın, Turkey
 Alka Superliga, Antalyaspor, Birkan Öksüz, Turkey
 K LEAGUE Classic, Ulsan Hyundai Horang-i, Kim Geon Woong, Korea Republic
 Major League Soccer, Seattle Sounders FC, Tony Alfaro, Mexico
 Major League Soccer, Columbus Crew SC, Rodrigo Saravia, Guatemala
 Liga Dimayor, La Equidad, Oliver Fula, Colombia
 Major League Soccer, Philadelphia Union, Fabian Herbers, Germany
 Allsvenskan, Jönköpings Södra IF, Dzenis Kozica, Sweden
 K LEAGUE Classic, Jeonnam Dragons, Lee Ho Seung, Korea Republic
 Eredivisie, Feyenoord, Justin Bijlow, Holland
 Alka Superliga, Cracovia, Anton Karachanakov, Bulgaria
 Alka Superliga, Urawa Red Diamonds, Kenichi Kaga, Japan
 Meiji Yasuda J1 League, Urawa Red Diamonds, Naoki Ishihara, Japan
 Liga NOS, FC Arouca, Vitor Costa, Brazil
 Liga Dimayor, Alianza Petrolera, Yhorman Hurtado, Colombia
 Tippeligaen, Viking FK, Aniekpeno Udo, Nigeria
 Süper Lig, Gaziantepspor, Doğanay Kılıç, Turkey
 Meiji Yasuda J1 League, Vegalta Sendai, Jun Kanakubo, Japan
 Alka Superliga, Sanfrecce Hiroshima, Koji Morisaki, Japan
 Tippeligaen, FK Haugesund, Izuchukwu Jude Anthony, Nigeria
 Meiji Yasuda J1 League, Kashiwa Reysol, Kazushige Kirihata, Japan
 Meiji Yasuda J1 League, Albirex Niigata, Kazunari Ono, Japan
 Meiji Yasuda J1 League, Sanfrecce Hiroshima, Yusuke Minagawa, Japan
 Bundesliga 2, DSC Arminia Bielefeld, Leandro Putaro, Germany
 Meiji Yasuda J1 League, Júbilo Iwata, Ko Shimura, Japan
 Meiji Yasuda J1 League, Júbilo Iwata, Nagisa Sakurauchi, Japan
 Meiji Yasuda J1 League, Sagan Tosu, Yutaka Yoshida, Japan
 Meiji Yasuda J1 League, Omiya Ardija, Hiroyuki Komoto, Japan
 Meiji Yasuda J1 League, Omiya Ardija, Kohei Yamakoshi, Japan
 Meiji Yasuda J1 League, Avispa Fukuoka, Yuta Mikado, Japan
 Meiji Yasuda J1 League, Júbilo Iwata, Kosuke Yamamoto, Japan
 Meiji Yasuda J1 League, F.C. Tokyo, Shoya Nakajima, Japan
 Meiji Yasuda J1 League, Kashima Antlers, Yukitoshi Ito, Japan
 Meiji Yasuda J1 League, Avispa Fukuoka, Mizuki Hamada, Japan
 Meiji Yasuda J1 League, Avispa Fukuoka, Kim Hyun Hun, Korea Republic
 Meiji Yasuda J1 League, Avispa Fukuoka, Hokuto Nakamura, Japan
 Meiji Yasuda J1 League, Kashiwa Reysol, Hiroto Nakagawa, Japan
 Meiji Yasuda J1 League, Kashiwa Reysol, Ryoichi Kurisawa, Japan
 Meiji Yasuda J1 League, Avispa Fukuoka, Jun Suzuki, Japan
 Meiji Yasuda J1 League, Avispa Fukuoka, Takeshi Kanamori, Japan
 Alka Superliga, Ventforet Kofu, Kensuke Fukuda, Japan
 Meiji Yasuda J1 League, Ventforet Kofu, Hiroto Hatao, Japan
 Alka Superliga, Ventforet Kofu, Masaki Watanabe, Japan
 Alka Superliga, ADO Den Haag, Dennis van der Heijden, Holland
 Süper Lig, Atiker Konyaspor, Amir Hadziahmetovic, Bosnia and Herzegovina
 Bundesliga, 1. FC Köln, Marcel Hartel, Germany
 Meiji Yasuda J1 League, Shonan Bellmare, Toshiki Ishikawa, Japan
 Meiji Yasuda J1 League, Shonan Bellmare, Yuta Kamiya, Japan
 Ekstraklasa, Bruk-Bet Termalica Nieciecza, Vladislavs Gutkovskis, Latvia
 Ekstraklasa, Wisła Kraków, Petar Brlek, Croatia
 Meiji Yasuda J1 League, Kashima Antlers, Yuma Suzuki, Japan
 EFL Championship, Ipswich Town, Andre Dozzell, England
 Primera División, San Lorenzo de Almagro, Lautaro Montoya, Argentina
 Tippeligaen, Vålerenga Fotball, Niklas Castro, Norway
 Bundesliga, Borussia Mönchengladbach, Mamadou Doucouré, France
 Premier League, West Bromwich Albion, Sam Field, England
 Belgium Pro League, KAS Eupen, Fahad Al Abdulrahman, Qatar
 Alka Superliga, HJK Helsinki, Richard Gadze, Ghana
 Bundesliga 2, SG Dynamo Dresden, Jannik Müller, Germany
 Liga NOS, Chaves, Emanuel Novo, Portugal
 Österreichische Fußball-Bundesliga, SKN St. Pölten, Michael Ambichl, Austria
 Eredivisie, Heracles Almelo, Gor Agbaljan, Armenia
 Eredivisie, PEC Zwolle, Philippe Sandler, Holland
 Ekstraklasa, Wisła Płock, Przemysław Szymiński, Poland
 Allsvenskan, IF Elfsborg, Issam Jebali, Tunisia
 South African FL, Orlando Pirates, Bernard Morrison, Ghana
 EFL League One, Port Vale, Christopher Mbamba, Sweden
 Eredivisie, Willem II, Andreias Calcan, Romania
 EFL League One, Port Vale, Anthony de Freitas, France
 Eredivisie, Sparta Rotterdam, Ilias Alhaft, Holland
 Alka Superliga, Kayserispor, Erkam Reşmen, Turkey
 Alka Superliga, FC Tom Tomsk, Oleksandr Kasyan, Ukraine
 Süper Lig, Alanyaspor, Isaac Sackey, Ghana
 Dawry Jameel, Al Batin, Nayef Al Dafeeri, Saudi Arabia
 Eredivisie, PSV, Ramon Pascal Lundqvist, Sweden
 Calcio B, Vercelli, Andrea Zaccagno, Italy
 Calcio B, Cittadella, Alberto Paleari, Italy
 Alka Superliga, Gençlerbirliği SK, Mahmut Bilir, Turkey
 Sogaz Russian Football Championship, Amkar Perm, Stanislav Prokofyev, Russia
 SSE Airtricity League, Cork City, Colin Healy, Republic of Ireland
 EFL League Two, Exeter City, Matt Oakley, England
 Allsvenskan, Helsingborgs IF, Christoffer Andersson, Sweden
 EFL League Two, Colchester United, Chris Porter, England
 EFL League Two, Crawley Town, Glenn Morris, England
 EFL League Two, Grimsby Town, Craig Disley, England
 Alka Superliga, Sogndal Fotball, Rune Bolseth, Norway
 Hyundai A-League, Perth Glory, Richard Garcia, Australia
 Tippeligaen, Tromsø IL, Jonas Johansen, Norway
 Alka Superliga, Exeter City, Danny Butterfield, England
 EFL League Two, Wycombe Wanderers, Matt Bloomfield, England
 EFL League One, Bury, Paul Rachubka, United States
 Alka Superliga, GIF Sundsvall, Stefan Ålander, Sweden
 EFL League One, Bristol Rovers, Jermaine Easter, Wales
 EFL League Two, Mansfield Town, Scott Shearer, Scotland
 Domino’s Ligue 2, RC Strasbourg Alsace, Landry Bonnefoi, France
 EFL League Two, Accrington Stanley, Arron Davies, Wales
 EFL League Two, Doncaster Rovers, Gary McSheffrey, England
 EFL League Two, Crawley Town, Matt Harrold, England
 Alka Superliga, Korona Kielce, Zbigniew Małkowski, Poland
 EFL League Two, Barnet, Michael Nelson, England
 Alka Superliga, FC Arsenal Tula, Igor Kaleshin, Russia
 Alka Superliga, ESTAC Troyes, Franck Grandel, France
 EFL League Two, Wycombe Wanderers, Garry Thompson, England
 Ekstraklasa, Górnik Łęczna, Paweł Sasin, Poland
 EFL League Two, Morecambe, Michael Rose, England
 Süper Lig, Kardemir Karabükspor, Fatih Atik, Turkey
 Allsvenskan, Falkenbergs FF, Stefan Rodevåg, Sweden
 Ekstraklasa, Górnik Łęczna, Maciej Szmatiuk, Poland
 SSE Airtricity League, Bohemian FC, Derek Pender, Republic of Ireland
 EFL League One, Shrewsbury, Sylvan Ebanks-Blake, England
 EFL League Two, Blackpool, Eddie Nolan, Republic of Ireland
 EFL League Two, Plymouth Argyle, Connor Smith, Republic of Ireland
 EFL League One, Shrewsbury, Junior Brown, England
 EFL League Two, Colchester United, Luke Prosser, England
 Alka Superliga, Salerno, Michele Franco, Italy
 EFL League Two, Grimsby Town, Ashley Chambers, England
 Tippeligaen, Lillestrøm SK, Haraldur Björnsson, Iceland
 Allsvenskan, IF Elfsborg, Anders Randrup, Denmark
 Eredivisie, N.E.C., Marco van Duin, Holland
 Meiji Yasuda J1 League, Avispa Fukuoka, Yuichi Komano, Japan
 Alka Superliga, Cheltenham Town, Daniel Parslow, Wales
 K LEAGUE Classic, Suwon FC, Kim Han Woon, Korea Republic
 Süper Lig, Alanyaspor, Zdeněk Zlámal, Czech Republic
 Ekstraklasa, Górnik Łęczna, Dariusz Jarecki, Poland
 Alka Superliga, Kashiwa Reysol, Juliano Mineiro, Timor-Leste
 EFL League One, Rochdale, Joe Thompson, England
 Alka Superliga, Newport County, Lenell John-Lewis, England
 Dawry Jameel, Al Taawoun, Fahad Al Shammari, Saudi Arabia
 Alka Superliga, Ventforet Kofu, Blagoja Celeski, Australia
 Hyundai A-League, Melbourne City, Dean Bouzanis, Australia
 EFL League Two, Grimsby Town, Sean McAllister, England
 SSE Airtricity League, St. Patrick's Athletic, Darren Dennehy, Republic of Ireland
 EFL League Two, Yeovil Town, Artur Krysiak, Poland
 EFL League One, Bury, Kelvin Etuhu, Nigeria
 LIGA Bancomer MX, Tigres U.A.N.L., Aarón Fernández, Mexico
 Tippeligaen, Strømsgodset IF, Łukasz Jarosiński, Poland
 Calcio B, Chiavari, Simone Palermo, Italy
 EFL League Two, Leyton Orient, Robbie Weir, Northern Ireland
 EFL League Two, Hartlepool United, Nicky Featherstone, England
 EFL League Two, Cambridge United, Adam McGurk, Northern Ireland
 EFL League Two, Morecambe, Dean Winnard, England
 SSE Airtricity League, Bohemian FC, Lorcan Fitzgerald, Republic of Ireland
 Raiffeisen Super League, FC Luzern, Jérôme Thiesson, Switzerland
 EFL League Two, Colchester United, Matthew Briggs, Guyana
 EFL League Two, Exeter City, Robbie Simpson, England
 SSE Airtricity League, St. Patrick's Athletic, Ian Bermingham, Republic of Ireland
 EFL League Two, Sheffield Wednesday, Jake Kean, England
 Meiji Yasuda J1 League, Vegalta Sendai, Koki Mizuno, Japan
 Alka Superliga, GwangJu FC, Cho Yong Tae, Korea Republic
 EFL League Two, Accrington Stanley, Seámus Conneely, Republic of Ireland
 Alka Superliga, Jönköpings Södra IF, Viktor Rönneklev, Sweden
 Allsvenskan, Djurgårdens IF, Amadou Jawo, Sweden
 Allsvenskan, Falkenbergs FF, Daniel Johansson, Sweden
 Hyundai A-League, Newcastle Jets, Labinot Haliti, Australia
 Ekstraklasa, Wisła Kraków, Michał Buchalik, Poland
 EFL League Two, Newport County, Jack Compton, Wales
 Österreichische Fußball-Bundesliga, SV Mattersburg, Lukas Rath, Austria
 Primera División, Montpellier Hérault SC, Dylan Gissi, Switzerland
 EFL League Two, Accrington Stanley, Terry Gornell, England
 EFL League One, Gillingham, Mark Byrne, Republic of Ireland
 EFL League Two, Portsmouth, Curtis Main, England
 Alka Superliga, Galatasaray SK, Umut Gündoğan, Turkey
 EFL League Two, Accrington Stanley, Sean McConville, England
 Meiji Yasuda J1 League, Avispa Fukuoka, Shoki Hirai, Japan
 Meiji Yasuda J1 League, Júbilo Iwata, Tomohiko Miyazaki, Japan
 EFL League Two, Crawley Town, Andre Blackman, England
 Raiffeisen Super League, FC Sion, Kevin Fickentscher, Switzerland
 EFL League One, Oxford United, Benjamin Büchel, Liechtenstein
 EFL League One, Shrewsbury, Mark Halstead, England
 Sogaz Russian Football Championship, Amkar Perm, Pavel Komolov, Russia
 Sogaz Russian Football Championship, FC Orenburg, Farhod Vasiev, Tajikistan
 Alka Superliga, Odense Boldklub, Jóan Símun Edmundsson, Faroe Islands
 Alka Superliga, Suwon FC, Kim Keun Hoan, Korea Republic
 EFL League Two, Colchester United, Alex Wynter, England
 Ekstraklasa, Arka Gdynia, Yannick Kakoko, Congo
 EFL League Two, Carlisle United, Mark Gillespie, England
 Tippeligaen, Sarpsborg 08 FF, Tor Øyvind Hovda, Norway
 Allsvenskan, Östersunds FK, Hampus Nilsson, Sweden
 Calcio B, Pescara, Stefano Pettinari, Italy
 Alka Superliga, Incheon United FC, Kim Da Sol, Korea Republic
 Raiffeisen Super League, Grasshopper Club Zürich, Numa Lavanchy, Switzerland
 EFL Championship, Fulham, Jesse Joronen, Finland
 Sogaz Russian Football Championship, FC Arsenal Tula, Felicio Brown Forbes, Costa Rica
 EFL League One, Blackpool, Jack Redshaw, England
 Hyundai A-League, Western Sydney Wanderers, Jerrad Tyson, Australia
 EFL League Two, Plymouth Argyle, Jimmy Spencer, England
 SSE Airtricity League, Galway United, Ryan Connolly, Republic of Ireland
 EFL League One, Southend United, Jermaine McGlashan, England
 Alka Superliga, Carlisle United, Joe McKee, Scotland
 Scottish Premiership, Ross County FC, Aaron McCarey, Republic of Ireland
 Tippeligaen, Sarpsborg 08 FF, Kristoffer N. Hansen, Norway
 Alka Superliga, Notts County, Vadaine Oliver, England
 SSE Airtricity League, Dundalk, Brian Gartland, Republic of Ireland
 Belgium Pro League, SV Zulte-Waregem, Louis Bostyn, Belgium
 Bundesliga 2, Eintracht Braunschweig, Onel Hernandez, Cuba
 Major League Soccer, San Jose Earthquakes, Bryan Meredith, United States
 LIGA Bancomer MX, Club América, Manuel Pérez, Mexico
 EFL League One, Notts County, Alex Rodman, England
 EFL League One, Oxford United, Josh Ruffels, England
 EFL League Two, Barnet, Elliot Johnson, England
 EFL League Two, Newport County, Joe Day, England
 EFL League One, Coventry City, Reice Charles-Cook, England
 SSE Airtricity League, Derry City, Ryan McBride, Republic of Ireland
 SSE Airtricity League, Dundalk, Sean Gannon, Republic of Ireland
 LIGA Bancomer MX, Monarcas Morelia, Ernest Nungaray, United States
 EFL League Two, Plymouth Argyle, Yann Songo'o, Cameroon
 EFL League One, Fleetwood Town, Alex Cairns, England
 EFL League One, Northampton Town, Sam Hoskins, England
 EFL League Two, Luton Town, Daniel Potts, England
 Tippeligaen, SK Brann, Alex Horwath, United States
 Calcio A, Empoli, Frédéric Veseli, Albania
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Maximilian Sax, Austria
 EFL League One, Peterborough United, Tom Nichols, England
 Alka Superliga, Cambridge United, Jake Gosling, Gibraltar
 Domino’s Ligue 2, US Orléans Loiret Football, Mickaël Barreto, France
 Scottish Premiership, Inverness Caledonian Thistle, Liam Polworth, Scotland
 Scottish Premiership, St. Johnstone FC, Chris Kane, Scotland
 Alka Superliga, Sampdoria, Andrea Tozzo, Italy
 EFL League Two, Barnet, Jamie Stephens, England
 Alka Superliga, Crawley Town, Daniel Pappoe, Ghana
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Andreas Leitner, Austria
 EFL League One, Northampton Town, Aaron Phillips, Wales
 EFL League Two, Accrington Stanley, Steven Hewitt, England
 Raiffeisen Super League, FC St. Gallen, Dejan Stojanovic, FYR Macedonia
 Liga NOS, Rio Ave FC, Rui Vieira, Portugal
 Tippeligaen, Vålerenga Fotball, Henrik Kjelsrud Johansen, Norway
 Alka Superliga, Seongnam FC, Kim Hyun, Korea Republic
 Tippeligaen, Sarpsborg 08 FF, Jon Helge Tveita, Norway
 Major League Soccer, San Jose Earthquakes, Marc Pelosi, United States
 Allsvenskan, Hammarby IF, Oliver Silverholt, Sweden
 Primera División, Atlético Tucumán, Matías Ballini, Argentina
 Tippeligaen, Molde FK, Andreas Linde, Sweden
 Domino’s Ligue 2, Clermont Foot 63, Wesley Jobello, France
 EFL League Two, Accrington Stanley, Matthew Pearson, England
 SSE Airtricity League, Shamrock Rovers, Luke Byrne, Republic of Ireland
 Alka Superliga, GIF Sundsvall, Johan Eklund, Sweden
 Eredivisie, Excelsior, Cedric Badjeck, Cameroon
 EFL League Two, Exeter City, Jordan Moore-Taylor, England
 EFL League Two, Barnet, Luke Gambin, Malta
 Dawry Jameel, Al Faisaly, Fahad Al Reshedi, Saudi Arabia
 Dawry Jameel, Al Taawoun, Musab Al Otaibi, Saudi Arabia
 Dawry Jameel, Al Raed, Sultan Al Yami, Saudi Arabia
 Dawry Jameel, Al Faisaly, Mustafa Malaika, Saudi Arabia
 Dawry Jameel, Al Raed, Hussain Al Shuwaysh, Saudi Arabia
 EFL League One, Chesterfield, Tom Anderson, England
 Dawry Jameel, Al Fateh, Ahmed Al Mubarak, Saudi Arabia
 EFL League Two, Newport County, Dan Butler, England
 Raiffeisen Super League, FC Luzern, Simon Grether, Switzerland
 Hyundai A-League, Brisbane Roar, Corey Brown, Australia
 Alka Superliga, Al Khaleej, Khalid Al Obud, Saudi Arabia
 Ligue 1, Sporting Club de Bastia, Thomas Vincensini, France
 EFL League Two, Accrington Stanley, Janoi Donacien, St. Lucia
 Finnliiga, HJK Helsinki, Thomas Dähne, Germany
 EFL Championship, Barnsley, Elliot Lee, England
 Dawry Jameel, Al Wehda, Muhannad Al Farsi, Saudi Arabia
 Dawry Jameel, Al Wehda, Yasser Al Fahmi, Saudi Arabia
 Dawry Jameel, Al Wehda, Rubayyi Al Moosa, Saudi Arabia
 Dawry Jameel, Al Taawoun, Ibrahim Al Zubaidi, Saudi Arabia
 SSE Airtricity League, Dundee FC, Michael Duffy, Northern Ireland
 SSE Airtricity League, Bohemian FC, Ismahil Akinade, Nigeria
 EFL League Two, Cheltenham Town, Jack Munns, England
 Alka Superliga, Wolfsberger AC, Michael Berger, Austria
 Alka Superliga, FC Nordsjælland, Lasse Petry, Denmark
 Allsvenskan, Helsingborgs IF, Jesper Björkman, Sweden
 Dawry Jameel, Al Qadisiyah, Fahad Al Johani, Saudi Arabia
 Dawry Jameel, Al Shabab, Amer Haroun Mohammed, Saudi Arabia
 Raiffeisen Super League, FC Lausanne-Sport, Paolo Frascatore, Italy
 LaLiga 1 I 2 I 3, RCD Mallorca, Álex Vallejo, Spain
 Dawry Jameel, Al Raed, Mohammed Al Amri, Saudi Arabia
 EFL Championship, Blackburn Rovers, Darragh Lenihan, Republic of Ireland
 Dawry Jameel, Al Khaleej, Husam Al Jadani, Saudi Arabia
 Ekstraklasa, Górnik Łęczna, Adam Dźwigała, Poland
 EFL League Two, Doncaster Rovers, Harry Middleton, England
 Alka Superliga, FC Erzgebirge Aue, Maik Ebersbach, Germany
 Hyundai A-League, Adelaide United, Ben Garuccio, Australia
 EFL League Two, Wycombe Wanderers, Dominic Gape, England
 SSE Airtricity League, St. Patrick's Athletic, Sean Hoare, Republic of Ireland
 Tippeligaen, IK Start, Andreas Hollingen, Norway
 Domino’s Ligue 2, AJ Auxerre, Baba Traoré, France
 Alka Superliga, 1. FC Heidenheim 1846, Oliver Schnitzler, Germany
 Raiffeisen Super League, FC Vaduz, Matthias Strohmaier, Germany
 Dawry Jameel, Al Raed, Murad Al Rashdi, Saudi Arabia
 Calcio B, Cittadella, Simone Pasa, Italy
 K LEAGUE Classic, FC Seoul, Lee Sang Hyeob, Korea Republic
 Alka Superliga, Real Salt Lake, John Stertzer, United States
 Alka Superliga, Kilmarnock, George Green, England
 K LEAGUE Classic, Pohang Steelers, Kim Jun Su, Korea Republic
 EFL League Two, Colchester United, Richard Brindley, England
 EFL League One, Walsall, Reece Flanagan, England
 Alka Superliga, Seongnam FC, Jung Seon Ho, Korea Republic
 EFL League One, Rochdale, Callum Camps, Northern Ireland
 EFL League One, Walsall, Matt Preston, England
 Ekstraklasa, Korona Kielce, Vanja Marković, Serbia
 Belgium Pro League, KAS Eupen, Phakamani Mngadi, South Africa
 Hyundai A-League, Melbourne City, Paulo Retre, Australia
 Alka Superliga, Roda JC Kerkrade, Daniel De Silva, Australia
 Allsvenskan, Östersunds FK, Hosam Aiesh, Sweden
 EFL League Two, Doncaster Rovers, Jordan Houghton, England
 EFL League Two, Crewe Alexandra, Alex Kiwomya, England
 Alka Superliga, Racing Club de Lens, Nadjib Baouia, Algeria
 Tippeligaen, Sogndal Fotball, Bjørn Inge Utvik, Norway
 Alka Superliga, Aarhus GF, Kasper Junker, Denmark
 EFL League One, Coventry City, Ryan Haynes, England
 EFL League One, Scunthorpe United, Duane Holmes, United States
 Liga Dimayor, La Equidad, Camilo Mancilla, Colombia
 Liga Dimayor, Corporación Club Deportivo Tuluá, Jáiber Cardona, Colombia
 Liga Dimayor, Junior FC, José Chunga, Colombia
 Liga Dimayor, Jaguares Fútbol Club, Onel Vidal, Colombia
 Liga Dimayor, La Equidad, Sebastián Ayala, Colombia
 EFL League One, Gillingham, Jake Hessenthaler, England
 EFL League One, Shrewsbury, Dominic Smith, Wales
 Alka Superliga, Tromsø IL, Henrik Gjesdal, Norway
 Ekstraklasa, Bruk-Bet Termalica Nieciecza, Dalibor Pleva, Slovakia
 Alka Superliga, Accrington Stanley, Bastien Héry, France
 EFL League One, Swindon Town, Lloyd Jones, England
 Calcio B, Bari, Elio Capradossi, Italy
 Alka Superliga, FC Luzern, Haxhi Neziraj, Albania
 EFL League One, Walsall, Jason McCarthy, England
 Calcio A, Lazio, Cristiano Lombardi, Italy
 Alka Superliga, Odense Boldklub, Oliver Lund, Denmark
 Primera División, Club Olimpo, Ezequiel Parnisari, Argentina
 Hyundai A-League, Adelaide United, Jordan Elsey, Australia
 Österreichische Fußball-Bundesliga, Wolfsberger AC, Thomas Zündel, Austria
 Bundesliga 2, VfL Bochum 1848, Jan Gyamerah, Germany
 Alka Superliga, Sport-Club Freiburg, Charles-Elie Laprevotte, France
 Campeonato Scotiabank, CD Cobresal, Lino Maldonado, Chile
 Premier League, Southampton, Josh Sims, England
 Liga Dimayor, La Equidad, Jose Johan Silva, Colombia
 Ekstraklasa, Bruk-Bet Termalica Nieciecza, Mateusz Kupczak, Poland
 Alka Superliga, Al Batin, Mashari Al Anazi, Saudi Arabia
 Ligue 1, OGC Nice, Bryan Constant, France
 Domino’s Ligue 2, Clermont Foot 63, Ludovic Ajorque, France
 LaLiga 1 I 2 I 3, Elche CF, David Gómez, Spain
 Allsvenskan, Gefle IF, Joshua Nadeau, France
 Tippeligaen, Tromsø IL, Runar Espejord, Norway
 EFL League One, Bury, Kean Bryan, England
 Dawry Jameel, Al Ittihad, Ammar Al Dohim, Saudi Arabia
 Ekstraklasa, Lech Poznań, Jan Bednarek, Poland
